Name,GroupCategory,GroupScope,Description,ParentOU,Members,ManagedBy
GG-Sales,Security,Global,Sales department staff,Sales,,
GG-Ecommerce,Security,Global,Ecommerce / web orders staff,Ecommerce,,
GG-Procurement,Security,Global,Procurement / purchasing staff,Procurement,,
GG-Warehouse,Security,Global,Warehouse staff,Warehouse,,
GG-Logistics,Security,Global,Logistics / shipping staff,Logistics,,
GG-Workshop,Security,Global,Workshop / fitting staff,Workshop,,
GG-CustomerService,Security,Global,Customer service staff,CustomerService,,
GG-Finance,Security,Global,Finance staff,Finance,,
GG-HR,Security,Global,HR staff,HR,,
GG-IT,Security,Global,IT staff,IT,,
GG-Marketing,Security,Global,Marketing staff,Marketing,,
GG-Management,Security,Global,Management,Management,,
GG-AllStaff,Security,Global,All employees,,,
DL-Inventory-RW,Security,DomainLocal,Read/write to stock-control system,,,
DL-Inventory-RO,Security,DomainLocal,Read-only to stock-control system,,,
DL-POS-RW,Security,DomainLocal,Point-of-sale / trade counter access,,,
DL-Catalog-RW,Security,DomainLocal,Edit parts catalog & price book,,,
DL-Catalog-RO,Security,DomainLocal,View parts catalog & price book,,,
DL-Suppliers-RW,Security,DomainLocal,Supplier / purchasing data access,,,
DL-Finance-RW,Security,DomainLocal,Finance share read/write,,,
DL-Returns-RW,Security,DomainLocal,Returns / RMA system access,,,
DL-Shipping-RW,Security,DomainLocal,Carrier / shipping system access,,,
DL-Reports-RO,Security,DomainLocal,BI / reporting read-only,,,
DL-VPN,Security,DomainLocal,Remote access / VPN,,,
DL-FileShare-RW,Security,DomainLocal,General company file share,,,
DG-AllStaff,Distribution,Universal,All-staff mailing list,,,
DG-Sales,Distribution,Universal,Sales mailing list,,,
DG-Warehouse,Distribution,Universal,Warehouse mailing list,,,
