MemberGroup,IntoGroup
GG-Sales,DL-POS-RW
GG-Sales,DL-Catalog-RO
GG-Sales,DL-Inventory-RO
GG-Sales,DL-FileShare-RW
GG-Sales,DL-VPN
GG-Ecommerce,DL-Catalog-RW
GG-Ecommerce,DL-Inventory-RO
GG-Ecommerce,DL-Shipping-RW
GG-Ecommerce,DL-FileShare-RW
GG-Procurement,DL-Suppliers-RW
GG-Procurement,DL-Inventory-RW
GG-Procurement,DL-Catalog-RW
GG-Procurement,DL-FileShare-RW
GG-Warehouse,DL-Inventory-RW
GG-Warehouse,DL-Shipping-RW
GG-Warehouse,DL-FileShare-RW
GG-Logistics,DL-Shipping-RW
GG-Logistics,DL-Inventory-RO
GG-Logistics,DL-FileShare-RW
GG-Workshop,DL-Returns-RW
GG-Workshop,DL-Inventory-RO
GG-Workshop,DL-Catalog-RO
GG-Workshop,DL-FileShare-RW
GG-CustomerService,DL-Returns-RW
GG-CustomerService,DL-Catalog-RO
GG-CustomerService,DL-Inventory-RO
GG-CustomerService,DL-FileShare-RW
GG-Finance,DL-Finance-RW
GG-Finance,DL-Reports-RO
GG-Finance,DL-FileShare-RW
GG-IT,DL-Reports-RO
GG-IT,DL-VPN
GG-IT,DL-FileShare-RW
GG-Marketing,DL-Catalog-RO
GG-Marketing,DL-FileShare-RW
GG-Management,DL-Reports-RO
GG-Management,DL-VPN
GG-Management,DL-FileShare-RW
GG-AllStaff,DL-FileShare-RW
GG-AllStaff,DG-AllStaff
GG-Sales,DG-Sales
GG-Warehouse,DG-Warehouse
